time,A01,A02,A03,A04,A05,A06,A07,A08,A09,B01,B02,B03,B04,B05,B06,B07,B08,B09
2022-06-28 17:52:08.764,0.0,0.0,1.0,,,,,0.0,0.0,0.0,,,,,,,0.0,
2022-06-28 20:25:01.573,0.0,0.0,1.0,,,,,0.0,0.0,0.0,,,,,,,0.0,
2022-08-22 17:51:02.545,0.0,1.0,1.0,,,,,0.0,0.0,0.0,,,,,,,0.0,
2022-08-22 17:52:30.845,0.0,0.0,1.0,,,,,0.0,0.0,0.0,,,,,,,0.0,
2021-11-01 11:29:59.742,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,,0.0,
2022-01-03 12:48:31.933,0.0,0.0,0.0,,1.0,,,0.0,0.0,0.0,,,,,,,0.0,
2022-01-03 12:48:38.833,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,,,,,0.0,
2022-01-03 12:50:03.503,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,,,,,0.0,
2022-01-21 09:05:26.052,0.0,0.0,0.0,,1.0,,,0.0,0.0,0.0,,,,,,,0.0,
2022-01-21 09:05:31.552,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,,,,,0.0,
2022-01-21 09:05:36.763,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,
2022-01-21 22:16:19.477,0.0,0.0,0.0,,1.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,
2022-01-21 22:16:26.109,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,
2022-01-21 22:27:21.194,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,
2022-02-05 06:17:11.675,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,
2022-02-05 06:17:27.585,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,
2022-02-05 06:18:16.547,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,
2022-05-13 07:13:08.235,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,
2022-05-13 07:13:22.435,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,
2022-05-13 07:13:52.335,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-02-28 19:11:00.165,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-02-28 19:11:05.166,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-02-28 19:11:18.484,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-07-23 10:48:23.286,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-07-23 10:48:48.986,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-07-23 11:08:02.397,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-01-16 15:15:07.375,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-01-16 15:15:17.076,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-01-21 22:16:19.562,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-01-21 22:16:25.822,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-01-03 10:00:20.036,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-01-03 10:00:37.835,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2021-10-01 16:13:00.828,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2021-10-01 16:13:08.730,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2021-10-01 16:22:52.275,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2021-10-19 11:58:12.842,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2021-10-19 11:58:30.742,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2021-10-19 12:13:56.380,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2021-10-21 15:17:37.366,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2021-10-21 15:17:49.466,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2021-11-01 11:29:44.432,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2021-11-01 11:29:59.132,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2021-11-01 11:49:41.616,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2021-11-01 11:49:56.415,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2021-11-19 15:29:16.075,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2021-11-19 16:14:31.536,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2021-11-19 16:15:19.535,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2021-11-19 16:15:20.735,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
